sample,time_us,channel1_v
488,156.160000,3.308466308
489,156.480000,3.308466308
490,156.800000,3.304755994
491,157.120000,3.304755994
492,157.440000,3.312176621
493,157.760000,3.308466308
494,158.080000,3.308466308
495,158.400000,3.301045681
496,158.720000,3.304755994
497,159.040000,3.308466308
498,159.360000,3.308466308
499,159.680000,3.308466308
500,160.000000,3.312176621
501,160.320000,3.312176621
502,160.640000,3.312176621
503,160.960000,3.308466308
504,161.280000,3.304755994
505,161.600000,3.301045681
506,161.920000,3.304755994
507,162.240000,3.308466308
508,162.560000,3.312176621
509,162.880000,3.308466308
510,163.200000,3.308466308
511,163.520000,3.308466308
512,163.840000,3.308466308
513,164.160000,3.312176621
514,164.480000,3.308466308
515,164.800000,3.308466308
516,165.120000,3.308466308
517,165.440000,3.308466308
518,165.760000,3.308466308
519,166.080000,3.308466308
520,166.400000,3.308466308
521,166.720000,3.308466308
522,167.040000,3.308466308
523,167.360000,3.308466308
524,167.680000,3.312176621
525,168.000000,3.312176621
526,168.320000,3.315886934
527,168.640000,3.315886934
528,168.960000,3.308466308
529,169.280000,3.308466308
530,169.600000,3.304755994
531,169.920000,3.304755994
532,170.240000,3.308466308
533,170.560000,3.308466308
534,170.880000,3.308466308
535,171.200000,3.308466308
536,171.520000,3.308466308
537,171.840000,3.304755994
538,172.160000,3.301045681
539,172.480000,3.304755994
540,172.800000,3.304755994
541,173.120000,3.304755994
542,173.440000,3.304755994
543,173.760000,3.304755994
544,174.080000,3.312176621
545,174.400000,3.304755994
546,174.720000,3.304755994
547,175.040000,3.304755994
548,175.360000,3.308466308
549,175.680000,3.304755994
550,176.000000,3.304755994
551,176.320000,3.312176621
552,176.640000,3.304755994
553,176.960000,3.308466308
554,177.280000,3.304755994
555,177.600000,3.308466308
556,177.920000,3.308466308
557,178.240000,3.308466308
558,178.560000,3.312176621
559,178.880000,3.304755994
560,179.200000,3.304755994
561,179.520000,3.308466308
562,179.840000,3.312176621
563,180.160000,3.312176621
564,180.480000,3.312176621
565,180.800000,3.312176621
566,181.120000,3.308466308
567,181.440000,3.308466308
568,181.760000,3.308466308
569,182.080000,3.308466308
570,182.400000,3.304755994
571,182.720000,3.308466308
572,183.040000,3.308466308
573,183.360000,3.304755994
574,183.680000,3.308466308
575,184.000000,3.308466308
576,184.320000,3.308466308
577,184.640000,3.308466308
578,184.960000,3.312176621
579,185.280000,3.312176621
580,185.600000,3.312176621
581,185.920000,3.315886934
582,186.240000,3.315886934
583,186.560000,3.315886934
584,186.880000,3.315886934
585,187.200000,3.312176621
586,187.520000,3.308466308
587,187.840000,3.308466308
588,188.160000,3.304755994
589,188.480000,3.308466308
590,188.800000,3.304755994
591,189.120000,3.312176621
592,189.440000,3.312176621
593,189.760000,3.312176621
594,190.080000,3.312176621
595,190.400000,3.308466308
596,190.720000,3.304755994
597,191.040000,3.304755994
598,191.360000,3.304755994
599,191.680000,3.304755994
600,192.000000,3.304755994
601,192.320000,3.304755994
602,192.640000,3.308466308
603,192.960000,3.304755994
604,193.280000,3.304755994
